year,month,temp,total-error-variance,high-frequency-error-variance,low-frequency-error-variance,bias-error-variance,diagnostic variable,diagnostic variable,diagnostic variable
1912,8,-0.716070,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1912,9,-0.800563,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1912,10,-0.798740,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1912,11,-0.649297,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1912,12,-0.765278,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,1,-0.654064,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,2,-0.752585,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,3,-0.750017,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,4,-0.678566,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,5,-0.728201,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,6,-0.710480,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,7,-0.624251,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,8,-0.598280,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,9,-0.618508,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,10,-0.593501,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,11,-0.519718,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1913,12,-0.393794,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,1,-0.266308,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,2,-0.399306,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,3,-0.538708,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,4,-0.625668,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,5,-0.521472,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,6,-0.540686,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,7,-0.539106,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,8,-0.468044,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,9,-0.461535,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,10,-0.371747,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,11,-0.394597,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1914,12,-0.322672,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,1,-0.488639,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,2,-0.348418,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,3,-0.407174,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,4,-0.251695,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,5,-0.327809,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,6,-0.425569,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,7,-0.359206,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,8,-0.393003,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,9,-0.469038,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,10,-0.464853,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,11,-0.405224,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1915,12,-0.559621,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1916,1,-0.517782,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1916,2,-0.497149,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1916,3,-0.618929,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1916,4,-0.570352,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1916,5,-0.584428,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1916,6,-0.671435,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1916,7,-0.604960,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1916,8,-0.557752,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1916,9,-0.560983,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
